,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
99,"If the World Was Ending - feat. Julia Michaels","JP Saxe",302873,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
100,"bloody valentine","Machine Gun Kelly",302332,https://open.spotify.com/track/6mADjHs6FXdroPzEGW6KVJ
101,"SICKO MODE","Travis Scott",301542,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
102,"One Of Them Girls","Lee Brice",300780,https://open.spotify.com/track/14GwnOeC9qYEKEA6uOZepa
103,Dior,"Pop Smoke",299725,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
104,"Rain On Me (with Ariana Grande)","Lady Gaga",299660,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
105,ROXANNE,"Arizona Zervas",298070,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
106,"You Got It",Vedo,293528,https://open.spotify.com/track/4lsHZ92XCFOQfzJFBTluk8
107,"Jocelyn Flores",XXXTENTACION,293297,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
108,"Toosie Slide",Drake,293244,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
109,"Mad at Disney","salem ilese",292148,https://open.spotify.com/track/7aGyRfJWtLqgJaZoG9lJhE
110,"Girls in the Hood","Megan Thee Stallion",290243,https://open.spotify.com/track/6WbTTAGKrQtCQvmc5BuYfh
111,"Don’t Stop (feat. Young Thug)","Megan Thee Stallion",290023,https://open.spotify.com/track/3yv7994DWTEk3ihwy75YBQ
112,Falling,"Trevor Daniel",285064,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
113,"Still Don't Know My Name",Labrinth,283251,https://open.spotify.com/track/6N22FZs2ZhPBYi3b9XPajV
114,"THE SCOTTS","THE SCOTTS",282005,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
115,"Outta Time (feat. Drake)","Bryson Tiller",279709,https://open.spotify.com/track/4SCnCPOUOUXUmCX2uHb3r7
116,"Beautiful Crazy","Luke Combs",279556,https://open.spotify.com/track/2rxQMGVafnNaRaXlRMWPde
117,"Lemonade (Feat. Roddy Ricch & Don Toliver) [Remix]","Internet Money",276171,https://open.spotify.com/track/5sBplhIrmzA4kQGyIOpmDf
118,"Take You Dancing","Jason Derulo",274447,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
119,"Heartless (feat. Morgan Wallen)",Diplo,270984,https://open.spotify.com/track/3FU6urUVsgXa6RBuV2PdRk
120,"No Guidance (feat. Drake)","Chris Brown",269860,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
121,"Tongue Tied",Grouplove,269614,https://open.spotify.com/track/0GO8y8jQk1PkHzS31d699N
122,"20 Min","Lil Uzi Vert",268827,https://open.spotify.com/track/0uxSUdBrJy9Un0EYoBowng
123,"My Dawg","21 Savage",268304,https://open.spotify.com/track/42Tohunwlh34o0mgxYx5iq
124,Epidemic,"Polo G",268099,https://open.spotify.com/track/170DNUSnQRp1tGpppF26pA
125,"Brand New Draco","21 Savage",265808,https://open.spotify.com/track/4V9ynsDPwHtdItksqjuRu0
126,"Flex (feat. Juice WRLD)","Polo G",264617,https://open.spotify.com/track/2QqJTIlGKRLJC3onkavYEz
127,Falling,"Harry Styles",264104,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
128,"No Role Modelz","J. Cole",263535,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8
129,"Lets Link",WhoHeem,262957,https://open.spotify.com/track/6fMzgFFGzWCwiHMzDzNpp5
130,"Money Trees","Kendrick Lamar",262281,https://open.spotify.com/track/2HbKqm4o0w5wEeEFXm2sD4
131,"Star Shopping","Lil Peep",262142,https://open.spotify.com/track/30bqVoKjX479ab90a8Pafp
132,"Walk Em Down (feat. Roddy Ricch)","NLE Choppa",262068,https://open.spotify.com/track/1Z0cZI0UzNbP9L8MzzGxqf
133,"Don't Start Now","Dua Lipa",261437,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
134,BOP,DaBaby,259963,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
135,"Tap In",Saweetie,259836,https://open.spotify.com/track/4Hpib09wXgD84w4uwTPnYD
136,"High Fashion (feat. Mustard)","Roddy Ricch",259594,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
137,"I Hope","Gabby Barrett",258695,https://open.spotify.com/track/23T0OX7QOiIUFShSzbJ5Uo
